dish_id,cluster
dish_1562183201,0
dish_1562784388,0
dish_1562872470,0
dish_1565379868,0
dish_1565799565,0
dish_1566416455,0
dish_1567106794,0
dish_1567526845,0
dish_1567537457,0
dish_1568061234,0
dish_1559846334,1
dish_1560441288,1
dish_1563308386,1
dish_1563823814,1
dish_1563913627,1
dish_1565728494,1
dish_1568061174,1
dish_1572376778,1
dish_1573234760,1
dish_1574711517,1
dish_1558462106,2
dish_1560367085,2
dish_1562099053,2
dish_1562603569,2
dish_1562611620,2
dish_1562787783,2
dish_1562788010,2
dish_1563217939,2
dish_1563381760,2
dish_1564000417,2
dish_1550707056,3
dish_1550772753,3
dish_1550773349,3
dish_1550873218,3
dish_1551134987,3
dish_1551222363,3
dish_1551224751,3
dish_1551227216,3
dish_1551379852,3
dish_1551381450,3
dish_1559849497,4
dish_1561060613,4
dish_1561576737,4
dish_1561578800,4
dish_1562008738,4
dish_1562959547,4
dish_1563220802,4
dish_1563551397,4
dish_1564169878,4
dish_1568314951,4
dish_1550712839,5
dish_1550777827,5
dish_1550793673,5
dish_1550875347,5
dish_1551122662,5
dish_1551224787,5
dish_1551226442,5
dish_1551323035,5
dish_1551566316,5
dish_1551567573,5
