dish_id,cluster
dish_1550708556,5
dish_1550773430,3
dish_1550775393,5
dish_1550859578,5
dish_1550876619,3
dish_1551235270,5
dish_1551306241,3
dish_1551314589,5
dish_1551322652,3
dish_1551488691,3
dish_1551490469,3
dish_1551567396,5
dish_1558115241,1
dish_1559845018,1
dish_1560369294,4
dish_1560456833,0
dish_1561060613,4
dish_1562010865,4
dish_1562605315,1
dish_1562774099,2
dish_1562947469,4
dish_1563479625,0
dish_1563827162,4
dish_1563910276,2
dish_1563913675,0
dish_1565036890,2
dish_1565208562,1
dish_1565641915,4
dish_1565981848,2
dish_1565987298,2
dish_1566591022,0
dish_1566851198,0
dish_1567537252,1
dish_1567789230,0
dish_1568060542,0
dish_1571931809,1
